playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,actualPoints,salary
2560929,Mike White,DAL,QB,23,0,8,0.210835986057566,0,0.493870079594398,0.399097316313961,54,0.00807071619805172,23,0.493870079594398,NA,NA,NA,4.74672528200605,NA,NA,NA
2556805,Johnny Holton,OAK,WR,27,2,7,0.209331830293093,-0.0641176470588235,0.582275229357798,0.553912099441209,170,0.0065901514993299,29,0.646392876416622,NA,138.7,10.1,5.98263553662027,NA,NA,NA
81284,Chase Daniel,CHI,QB,32,9,5,0.205741180320216,-0.0189478737997257,0.578083380598795,0.320654439777074,55,0.00834948594898713,23,0.597031254398521,NA,NA,NA,4.4776337252095,NA,NA,NA
2559241,Travis Rudolph,FA,WR,NA,1,NA,0.205181733457596,0,0.440372093023256,0.366490438541521,171,0.00762590347148337,29,0.440372093023256,NA,NA,NA,NA,NA,NA,NA
2550481,Orleans Darkwa,FA,RB,26,4,NA,0.201975768872321,0,0.433491279069767,0.36076402543931,123,0.0266170206138072,30,0.433491279069767,NA,NA,NA,4.3457869630508,NA,NA,NA
2495159,Dwayne Harris,OAK,WR,31,7,7,0.20030162412993,0,0.514891925465839,0.306616715911055,172,0.00862085836698462,29,0.514891925465839,NA,132.3,7.7,4.85841367840241,NA,NA,NA
2560786,Kyle Lauletta,NYG,QB,23,0,9,0.199789359398814,0,0.475142022006246,0.411014240323753,56,0.0188768437436057,23,0.475142022006246,NA,NA,NA,4.78760526723343,NA,NA,NA
2530763,Patrick DiMarco,BUF,RB,29,7,11,0.196235498839907,0,0.480946583850932,0.252122152037444,124,0.0432824930407905,30,0.480946583850932,NA,94.9,5.6,4.71016605881013,NA,NA,NA
2505982,Matt Schaub,ATL,QB,37,14,8,0.194994029343644,0,0.447879402993976,0.204778065987306,57,0.0342858026565127,23,0.447879402993976,NA,NA,NA,4.0801297682458,NA,NA,NA
2556773,Hunter Sharp,NYG,WR,24,2,9,0.194810035842294,0,0.469636627906977,0.393697070210478,173,0.00806116972092519,29,0.469636627906977,NA,NA,NA,NA,NA,NA,NA
2556478,Ben Braunecker,CHI,TE,24,2,5,0.193142369575817,0,0.374269565217391,0.208071611800981,91,0.00573019273675396,24,0.374269565217391,NA,84.3,12,6.67715166565521,NA,NA,NA
2556855,Marcus Johnson,IND,WR,24,2,9,0.188551495683598,-0.0366386554621849,0.439897604148042,0.220479648220417,174,0.0040724338676236,29,0.476536259610227,NA,150,15.5,8.51213471761045,NA,NA,NA
2556708,Cole Wick,SF,TE,25,2,11,0.18784686774942,0,0.491667080745342,0.277898284373609,92,0.00225882164917873,24,0.491667080745342,NA,75.3,4.9,4.37874411188872,NA,NA,NA
2552401,MyCole Pruitt,TEN,TE,26,3,8,0.186977485928705,0,0.414076397515528,0.348837074283767,93,0.00354424777476636,24,0.414076397515528,NA,NA,NA,4.67836245166828,NA,NA,NA
2559324,Reggie Davis,FA,WR,23,1,NA,0.18494623655914,0,0.313488372093023,0.282842712474619,175,0.00636231468338544,29,0.313488372093023,NA,NA,NA,NA,NA,NA,NA
2550405,Erik Swoope,FA,TE,26,4,NA,0.184198606271777,0,0.459192660550459,0.425729010812034,94,0.00390328943137297,24,0.459192660550459,NA,51,6.6,5.31728112156708,NA,NA,NA
2556517,Ed Eagan,FA,WR,25,2,NA,0.184011887072808,0,0.289569767441861,0.254558441227157,176,0.0170984008117433,29,0.289569767441861,NA,NA,NA,NA,NA,NA,NA
2559161,Sean Culkin,LAC,TE,NA,NA,8,0.182667870036101,0,0.404021276595745,0.244538007639487,95,0.00938462441446444,24,0.404021276595745,NA,78,3.2,3.71027150013018,NA,NA,NA
2559044,Antony Auclair,TB,TE,25,1,5,0.177922763644707,0,0.33804567044209,0.179094369702007,96,0.0127424160909112,24,0.33804567044209,NA,90.5,9.5,5.74148213645154,NA,NA,NA
497320,Andre Roberts,NYJ,WR,30,8,11,0.1731559566787,0,0.362740121580547,0.205673109246944,177,0.0130097922393833,29,0.362740121580547,NA,118.2,7.4,4.71788594612518,NA,NA,NA
2540211,Gavin Escobar,MIA,TE,27,5,11,0.168643727598566,0,0.384805900621118,0.25398438199589,97,0.00923911150481788,24,0.384805900621118,NA,NA,NA,4.23080004058365,NA,NA,NA
2555262,Jeff Driskel,CIN,QB,25,2,9,0.166831001966772,0,0.373366809240289,0.293797907681054,58,0.0150728550737145,23,0.373366809240289,NA,NA,NA,4.38550469640628,NA,NA,NA
